page,source,dest,place,postcode,lat,lon,service,subject,primary,source_url,title,alt,caption,width,height
asbestos-removal-croydon-london.html,asbestos-aib-fireplace-removal-london.webp,media/asbestos-aib-removal-croydon-london-whitgift-centre-cr0.webp,Whitgift Centre,CR0,51.376465,-0.098528,Asbestos AIB removal Croydon borough,opened fireplace and surrounding exposed surfaces,False,https://www.ukcitymap.com/whitgift-centre-stop-wm-info-490014614E14.html,Asbestos AIB removal Croydon borough - Whitgift Centre CR0,Asbestos AIB removal Croydon borough - Whitgift Centre CR0; opened fireplace and surrounding exposed surfaces,Asbestos AIB removal Croydon borough - Whitgift Centre CR0. Opened fireplace and surrounding exposed surfaces.,549,699
asbestos-removal-south-london.html,asbestos-removal-london-enclosure-hero.webp,media/asbestos-removal-south-london-elephant-and-castle-se1.webp,Elephant And Castle,SE1,51.495,-0.101,Asbestos removal South London,screened enclosure with taped doors and an asbestos warning sign,True,https://www.ukcitymap.com/elephant-and-castle-greater-london-england-satellite-view.html,Asbestos Removal South London - asbestos removal - Elephant And Castle SE1,Asbestos Removal South London - asbestos removal - Elephant And Castle SE1; screened enclosure with taped doors and an asbestos warning sign,Asbestos Removal South London - asbestos removal - Elephant And Castle SE1. Screened enclosure with taped doors and an asbestos warning sign.,1672,941
asbestos-removal-south-london.html,commercial-asbestos-roof-removal-london.webp,media/asbestos-roof-removal-south-london-elephant-castle-se1.webp,Elephant & Castle,SE1,51.495011,-0.100529,Asbestos roof removal South London,large pitched corrugated roof above a brick building,False,https://www.ukcitymap.com/elephant-castle-underground-station-info-9400ZZLUEAC4.html,Asbestos roof removal South London - Elephant & Castle SE1,Asbestos roof removal South London - Elephant & Castle SE1; large pitched corrugated roof above a brick building,Asbestos roof removal South London - Elephant & Castle SE1. Large pitched corrugated roof above a brick building.,1600,1200
asbestos-removal-south-london.html,asbestos-floor-tile-removal-richmond.webp,media/asbestos-floor-tile-removal-south-london-london-college-of-comm-se1.webp,London College of Comm,SE1,51.495252,-0.10206,Asbestos floor tile removal South London,exposed dark floor finish beside a skirting board,False,https://www.ukcitymap.com/london-college-of-comm-stop-z-info-490009270Z.html,Asbestos floor tile removal South London - London College of Comm SE1,Asbestos floor tile removal South London - London College of Comm SE1; exposed dark floor finish beside a skirting board,Asbestos floor tile removal South London - London College of Comm SE1. Exposed dark floor finish beside a skirting board.,1350,1800
asbestos-removal-twickenham.html,asbestos-garage-roof-london.webp,media/asbestos-garage-roof-removal-twickenham-twickenham-town-centre-tw1.webp,Twickenham town centre,TW1,51.44822,-0.32526,Asbestos garage roof removal Twickenham,garage with corrugated roof sheets and wall cladding,True,https://www.ukcitymap.com/twickenham-greater-london-england-satellite-view.html,Asbestos Removal Twickenham - asbestos garage roof removal - Twickenham town centre TW1,Asbestos Removal Twickenham - asbestos garage roof removal - Twickenham town centre TW1; garage with corrugated roof sheets and wall cladding,Asbestos Removal Twickenham - asbestos garage roof removal - Twickenham town centre TW1. Garage with corrugated roof sheets and wall cladding.,1200,899
asbestos-removal-twickenham.html,asbestos-floor-tile-removal-richmond.webp,media/asbestos-floor-tile-removal-twickenham-york-street-twickenham-tw1.webp,York Street  Twickenham,TW1,51.447836,-0.326516,Asbestos floor tile removal Twickenham,exposed dark floor finish beside a skirting board,False,https://www.ukcitymap.com/york-street-twickenham-e-info-490015022Z.html,Asbestos floor tile removal Twickenham - York Street  Twickenham TW1,Asbestos floor tile removal Twickenham - York Street  Twickenham TW1; exposed dark floor finish beside a skirting board,Asbestos floor tile removal Twickenham - York Street  Twickenham TW1. Exposed dark floor finish beside a skirting board.,1350,1800
asbestos-removal-twickenham.html,asbestos-aib-fireplace-removal-london.webp,media/asbestos-aib-removal-twickenham-arragon-road-tw1-tw1.webp,Arragon Road (TW1),TW1,51.449023,-0.329063,Asbestos AIB removal Twickenham,opened fireplace and surrounding exposed surfaces,False,https://www.ukcitymap.com/arragon-road-tw1-stop-d-info-490013862G.html,Asbestos AIB removal Twickenham - Arragon Road (TW1) TW1,Asbestos AIB removal Twickenham - Arragon Road (TW1) TW1; opened fireplace and surrounding exposed surfaces,Asbestos AIB removal Twickenham - Arragon Road (TW1) TW1. Opened fireplace and surrounding exposed surfaces.,549,699
asbestos-removal-wood-green.html,asbestos-floor-tile-removal-richmond.webp,media/asbestos-floor-tile-removal-wood-green-wood-green-centre-n22.webp,Wood Green centre,N22,51.59718,-0.10993,Asbestos floor tile removal Wood Green,exposed dark floor finish beside a skirting board,True,https://www.ukcitymap.com/wood-green-greater-london-england-satellite-view.html,Asbestos Removal Wood Green - asbestos floor tile removal - Wood Green centre N22,Asbestos Removal Wood Green - asbestos floor tile removal - Wood Green centre N22; exposed dark floor finish beside a skirting board,Asbestos Removal Wood Green - asbestos floor tile removal - Wood Green centre N22. Exposed dark floor finish beside a skirting board.,1350,1800
asbestos-removal-wood-green.html,asbestos-textured-wall-removal-london.webp,media/asbestos-textured-coating-removal-wood-green-wood-green-n22.webp,Wood Green,N22,51.5973,-0.109966,Asbestos textured coating removal Wood Green,wall with partly removed surface finishes,False,https://www.ukcitymap.com/wood-green-underground-station-entrance-1-info-4900ZZLUWOG1.html,Asbestos textured coating removal Wood Green - Wood Green N22,Asbestos textured coating removal Wood Green - Wood Green N22; wall with partly removed surface finishes,Asbestos textured coating removal Wood Green - Wood Green N22. Wall with partly removed surface finishes.,1600,1200
asbestos-removal-wood-green.html,asbestos-removal-london-enclosure-hero.webp,media/asbestos-removal-wood-green-the-broadway-n22-n22.webp,The Broadway (N22),N22,51.597018,-0.110859,Asbestos removal Wood Green,screened enclosure with taped doors and an asbestos warning sign,False,https://www.ukcitymap.com/the-broadway-n22-stop-a-info-490015471A.html,Asbestos removal Wood Green - The Broadway (N22) N22,Asbestos removal Wood Green - The Broadway (N22) N22; screened enclosure with taped doors and an asbestos warning sign,Asbestos removal Wood Green - The Broadway (N22) N22. Screened enclosure with taped doors and an asbestos warning sign.,1672,941
asbestos-removal-ealing-london.html,commercial-asbestos-roof-removal-london.webp,media/asbestos-roof-removal-ealing-london-ealing-borough-centre-w5.webp,Ealing borough centre,W5,51.51379,-0.3028,Asbestos roof removal Ealing borough,large pitched corrugated roof above a brick building,True,https://www.ukcitymap.com/ealing-greater-london-england-satellite-view.html,Asbestos Removal Ealing borough - asbestos roof removal - Ealing borough centre W5,Asbestos Removal Ealing borough - asbestos roof removal - Ealing borough centre W5; large pitched corrugated roof above a brick building,Asbestos Removal Ealing borough - asbestos roof removal - Ealing borough centre W5. Large pitched corrugated roof above a brick building.,1600,1200
asbestos-removal-ealing-london.html,asbestos-garage-roof-london.webp,media/asbestos-garage-roof-removal-ealing-london-ealing-broadway-w5.webp,Ealing Broadway,W5,51.514005,-0.302979,Asbestos garage roof removal Ealing borough,garage with corrugated roof sheets and wall cladding,False,https://www.ukcitymap.com/ealing-broadway-stop-h-info-490000062H.html,Asbestos garage roof removal Ealing borough - Ealing Broadway W5,Asbestos garage roof removal Ealing borough - Ealing Broadway W5; garage with corrugated roof sheets and wall cladding,Asbestos garage roof removal Ealing borough - Ealing Broadway W5. Garage with corrugated roof sheets and wall cladding.,1200,899
asbestos-removal-ealing-london.html,asbestos-removal-refurbishment-work-london.webp,media/asbestos-removal-ealing-london-ealing-broadway-w5.webp,Ealing Broadway,W5,51.514841,-0.301752,Asbestos removal Ealing borough,room undergoing refurbishment with exposed ceiling structure,False,https://www.ukcitymap.com/ealing-broadway-rail-station-info-9100EALINGB.html,Asbestos removal Ealing borough - Ealing Broadway W5,Asbestos removal Ealing borough - Ealing Broadway W5; room undergoing refurbishment with exposed ceiling structure,Asbestos removal Ealing borough - Ealing Broadway W5. Room undergoing refurbishment with exposed ceiling structure.,1172,1372
asbestos-removal-kensington-and-chelsea-london.html,asbestos-removal-london-enclosure-hero.webp,media/asbestos-removal-kensington-and-chelsea-london-kensington-borough-centre-w8.webp,Kensington borough centre,W8,51.50057,-0.19438,Asbestos removal Kensington and Chelsea,screened enclosure with taped doors and an asbestos warning sign,True,https://www.ukcitymap.com/kensington-greater-london-england-satellite-view.html,Asbestos Removal Kensington and Chelsea - asbestos removal - Kensington borough centre W8,Asbestos Removal Kensington and Chelsea - asbestos removal - Kensington borough centre W8; screened enclosure with taped doors and an asbestos warning sign,Asbestos Removal Kensington and Chelsea - asbestos removal - Kensington borough centre W8. Screened enclosure with taped doors and an asbestos warning sign.,1672,941
asbestos-removal-kensington-and-chelsea-london.html,asbestos-aib-fireplace-removal-london.webp,media/asbestos-aib-removal-kensington-and-chelsea-london-high-street-kensington-w8.webp,High Street Kensington,W8,51.501031,-0.192923,Asbestos AIB removal Kensington and Chelsea,opened fireplace and surrounding exposed surfaces,False,https://www.ukcitymap.com/high-street-kensington-underground-station-entrance-1-info-4900ZZLUHSK1.html,Asbestos AIB removal Kensington and Chelsea - High Street Kensington W8,Asbestos AIB removal Kensington and Chelsea - High Street Kensington W8; opened fireplace and surrounding exposed surfaces,Asbestos AIB removal Kensington and Chelsea - High Street Kensington W8. Opened fireplace and surrounding exposed surfaces.,549,699
asbestos-removal-kensington-and-chelsea-london.html,asbestos-artex-textured-coating-close-up-london.webp,media/asbestos-textured-coating-removal-kensington-and-chelsea-london-phillimore-gardens-w8.webp,Phillimore Gardens,W8,51.500045,-0.196088,Asbestos textured coating removal Kensington and Chelsea,decorative textured ceiling around a light fitting,False,https://www.ukcitymap.com/phillimore-gardens-stop-s-info-490010984S.html,Asbestos textured coating removal Kensington and Chelsea - Phillimore Gardens W8,Asbestos textured coating removal Kensington and Chelsea - Phillimore Gardens W8; decorative textured ceiling around a light fitting,Asbestos textured coating removal Kensington and Chelsea - Phillimore Gardens W8. Decorative textured ceiling around a light fitting.,1200,1600
asbestos-removal-shoreditch.html,asbestos-removal-refurbishment-work-london.webp,media/asbestos-removal-shoreditch-shoreditch-centre-ec2a.webp,Shoreditch centre,EC2A,51.52468,-0.08394,Asbestos removal Shoreditch,room undergoing refurbishment with exposed ceiling structure,True,https://www.ukcitymap.com/shoreditch-greater-london-england-satellite-view.html,Asbestos Removal Shoreditch - asbestos removal - Shoreditch centre EC2A,Asbestos Removal Shoreditch - asbestos removal - Shoreditch centre EC2A; room undergoing refurbishment with exposed ceiling structure,Asbestos Removal Shoreditch - asbestos removal - Shoreditch centre EC2A. Room undergoing refurbishment with exposed ceiling structure.,1172,1372
asbestos-removal-shoreditch.html,asbestos-floor-tile-removal-richmond.webp,media/asbestos-floor-tile-removal-shoreditch-ravey-street-ec2a.webp,Ravey Street,EC2A,51.525418,-0.082483,Asbestos floor tile removal Shoreditch,exposed dark floor finish beside a skirting board,False,https://www.ukcitymap.com/ravey-street-stop-z-info-490011448Z.html,Asbestos floor tile removal Shoreditch - Ravey Street EC2A,Asbestos floor tile removal Shoreditch - Ravey Street EC2A; exposed dark floor finish beside a skirting board,Asbestos floor tile removal Shoreditch - Ravey Street EC2A. Exposed dark floor finish beside a skirting board.,1350,1800
asbestos-removal-shoreditch.html,asbestos-aib-fireplace-removal-london.webp,media/asbestos-aib-removal-shoreditch-great-eastern-street-ec2a.webp,Great Eastern Street,EC2A,51.526528,-0.083273,Asbestos AIB removal Shoreditch,opened fireplace and surrounding exposed surfaces,False,https://www.ukcitymap.com/great-eastern-street-stop-ya-info-490005619YA.html,Asbestos AIB removal Shoreditch - Great Eastern Street EC2A,Asbestos AIB removal Shoreditch - Great Eastern Street EC2A; opened fireplace and surrounding exposed surfaces,Asbestos AIB removal Shoreditch - Great Eastern Street EC2A. Opened fireplace and surrounding exposed surfaces.,549,699
asbestos-removal-south-norwood.html,asbestos-artex-textured-ceiling-london.webp,media/asbestos-artex-removal-south-norwood-south-norwood-centre-se25.webp,South Norwood centre,SE25,51.39693,-0.0737,Asbestos Artex removal South Norwood,patterned textured ceiling with cornice detailing,True,https://www.ukcitymap.com/south-norwood-greater-london-england-satellite-view.html,Asbestos Removal South Norwood - asbestos artex removal - South Norwood centre SE25,Asbestos Removal South Norwood - asbestos artex removal - South Norwood centre SE25; patterned textured ceiling with cornice detailing,Asbestos Removal South Norwood - asbestos artex removal - South Norwood centre SE25. Patterned textured ceiling with cornice detailing.,2048,1536
asbestos-removal-south-norwood.html,asbestos-textured-wall-removal-london.webp,media/asbestos-textured-coating-removal-south-norwood-norwood-junction-se25.webp,Norwood Junction,SE25,51.397253,-0.074162,Asbestos textured coating removal South Norwood,wall with partly removed surface finishes,False,https://www.ukcitymap.com/norwood-junction-rail-station-entrance-1-info-4900NORWDJ1.html,Asbestos textured coating removal South Norwood - Norwood Junction SE25,Asbestos textured coating removal South Norwood - Norwood Junction SE25; wall with partly removed surface finishes,Asbestos textured coating removal South Norwood - Norwood Junction SE25. Wall with partly removed surface finishes.,1600,1200
asbestos-removal-south-norwood.html,asbestos-garden-building-roof-london.webp,media/asbestos-roof-removal-south-norwood-portland-road-norwood-jnc-stn-se25.webp,Portland Road Norwood Jnc Stn,SE25,51.398307,-0.072623,Asbestos roof removal South Norwood,roof of a garden building,False,https://www.ukcitymap.com/portland-road-norwood-jnc-stn-stop-p-info-490001216P.html,Asbestos roof removal South Norwood - Portland Road Norwood Jnc Stn SE25,Asbestos roof removal South Norwood - Portland Road Norwood Jnc Stn SE25; roof of a garden building,Asbestos roof removal South Norwood - Portland Road Norwood Jnc Stn SE25. Roof of a garden building.,4032,3024
asbestos-removal-thornton-heath.html,asbestos-floor-tile-removal-richmond.webp,media/asbestos-floor-tile-removal-thornton-heath-thornton-heath-centre-cr7.webp,Thornton Heath centre,CR7,51.39581,-0.11125,Asbestos floor tile removal Thornton Heath,exposed dark floor finish beside a skirting board,True,https://www.ukcitymap.com/thornton-heath-greater-london-england-satellite-view.html,Asbestos Removal Thornton Heath - asbestos floor tile removal - Thornton Heath centre CR7,Asbestos Removal Thornton Heath - asbestos floor tile removal - Thornton Heath centre CR7; exposed dark floor finish beside a skirting board,Asbestos Removal Thornton Heath - asbestos floor tile removal - Thornton Heath centre CR7. Exposed dark floor finish beside a skirting board.,1350,1800
asbestos-removal-thornton-heath.html,asbestos-artex-textured-coating-close-up-london.webp,media/asbestos-textured-coating-removal-thornton-heath-colliers-water-lane-cr7.webp,Colliers Water Lane,CR7,51.395387,-0.114764,Asbestos textured coating removal Thornton Heath,decorative textured ceiling around a light fitting,False,https://www.ukcitymap.com/colliers-water-lane-stop-t-info-490005501T.html,Asbestos textured coating removal Thornton Heath - Colliers Water Lane CR7,Asbestos textured coating removal Thornton Heath - Colliers Water Lane CR7; decorative textured ceiling around a light fitting,Asbestos textured coating removal Thornton Heath - Colliers Water Lane CR7. Decorative textured ceiling around a light fitting.,1200,1600
asbestos-removal-thornton-heath.html,asbestos-garage-roof-london.webp,media/asbestos-garage-roof-removal-thornton-heath-brigstock-road-london-road-cr7.webp,Brigstock Road  London Road,CR7,51.393655,-0.113354,Asbestos garage roof removal Thornton Heath,garage with corrugated roof sheets and wall cladding,False,https://www.ukcitymap.com/brigstock-road-london-road-stop-p-info-490004343P.html,Asbestos garage roof removal Thornton Heath - Brigstock Road  London Road CR7,Asbestos garage roof removal Thornton Heath - Brigstock Road  London Road CR7; garage with corrugated roof sheets and wall cladding,Asbestos garage roof removal Thornton Heath - Brigstock Road  London Road CR7. Garage with corrugated roof sheets and wall cladding.,1200,899
asbestos-removal-tottenham.html,asbestos-aib-fireplace-removal-london.webp,media/asbestos-aib-removal-tottenham-tottenham-centre-n15.webp,Tottenham centre,N15,51.58861,-0.07285,Asbestos AIB removal Tottenham,opened fireplace and surrounding exposed surfaces,True,https://www.ukcitymap.com/tottenham-greater-london-england-satellite-view.html,Asbestos Removal Tottenham - asbestos aib removal - Tottenham centre N15,Asbestos Removal Tottenham - asbestos aib removal - Tottenham centre N15; opened fireplace and surrounding exposed surfaces,Asbestos Removal Tottenham - asbestos aib removal - Tottenham centre N15. Opened fireplace and surrounding exposed surfaces.,549,699
asbestos-removal-tottenham.html,commercial-asbestos-roof-removal-london.webp,media/asbestos-roof-removal-tottenham-tottenham-town-hall-n15.webp,Tottenham Town Hall,N15,51.587988,-0.070929,Asbestos roof removal Tottenham,large pitched corrugated roof above a brick building,False,https://www.ukcitymap.com/tottenham-town-hall-stop-v-info-490013739M.html,Asbestos roof removal Tottenham - Tottenham Town Hall N15,Asbestos roof removal Tottenham - Tottenham Town Hall N15; large pitched corrugated roof above a brick building,Asbestos roof removal Tottenham - Tottenham Town Hall N15. Large pitched corrugated roof above a brick building.,1600,1200
asbestos-removal-tottenham.html,asbestos-floor-tile-removal-richmond.webp,media/asbestos-floor-tile-removal-tottenham-winchelsea-road-n15.webp,Winchelsea Road,N15,51.589146,-0.07521,Asbestos floor tile removal Tottenham,exposed dark floor finish beside a skirting board,False,https://www.ukcitymap.com/winchelsea-road-stop-p-info-490007529W.html,Asbestos floor tile removal Tottenham - Winchelsea Road N15,Asbestos floor tile removal Tottenham - Winchelsea Road N15; exposed dark floor finish beside a skirting board,Asbestos floor tile removal Tottenham - Winchelsea Road N15. Exposed dark floor finish beside a skirting board.,1350,1800
asbestos-removal-muswell-hill.html,asbestos-artex-textured-coating-close-up-london.webp,media/asbestos-textured-coating-removal-muswell-hill-muswell-hill-centre-n10.webp,Muswell Hill centre,N10,51.5979,-0.14075,Asbestos textured coating removal Muswell Hill,decorative textured ceiling around a light fitting,True,https://www.ukcitymap.com/muswell-hill-greater-london-england-satellite-view.html,Asbestos Removal Muswell Hill - asbestos textured coating removal - Muswell Hill centre N10,Asbestos Removal Muswell Hill - asbestos textured coating removal - Muswell Hill centre N10; decorative textured ceiling around a light fitting,Asbestos Removal Muswell Hill - asbestos textured coating removal - Muswell Hill centre N10. Decorative textured ceiling around a light fitting.,1200,1600
asbestos-removal-muswell-hill.html,asbestos-worker-textured-coating-stairwell-london.webp,media/asbestos-textured-coating-removal-muswell-hill-rosebery-road-n10-n10.webp,Rosebery Road (N10),N10,51.598482,-0.13829,Asbestos textured coating removal Muswell Hill,stairwell ceiling with opened sections,False,https://www.ukcitymap.com/rosebery-road-n10-sw-info-490011684S.html,Asbestos textured coating removal Muswell Hill - Rosebery Road (N10) N10,Asbestos textured coating removal Muswell Hill - Rosebery Road (N10) N10; stairwell ceiling with opened sections,Asbestos textured coating removal Muswell Hill - Rosebery Road (N10) N10. Stairwell ceiling with opened sections.,1086,1448
asbestos-removal-muswell-hill.html,asbestos-cement-flue-pipe-london.webp,media/asbestos-cement-flue-removal-muswell-hill-colney-hatch-lane-alexandra-park-road-n10.webp,Colney Hatch Lane  Alexandra Park Road,N10,51.596189,-0.144014,Asbestos cement flue removal Muswell Hill,vertical flue pipe inside a cupboard,False,https://www.ukcitymap.com/colney-hatch-lane-alexandra-park-road-stop-cp-info-490005509N.html,Asbestos cement flue removal Muswell Hill - Colney Hatch Lane  Alexandra Park Road N10,Asbestos cement flue removal Muswell Hill - Colney Hatch Lane  Alexandra Park Road N10; vertical flue pipe inside a cupboard,Asbestos cement flue removal Muswell Hill - Colney Hatch Lane  Alexandra Park Road N10. Vertical flue pipe inside a cupboard.,800,640
asbestos-removal-north-kensington.html,asbestos-removal-london-enclosure-hero.webp,media/asbestos-removal-north-kensington-north-kensington-centre-w10.webp,North Kensington centre,W10,51.51841,-0.21629,Asbestos removal North Kensington,screened enclosure with taped doors and an asbestos warning sign,True,https://www.ukcitymap.com/north-kensington-greater-london-england-satellite-view.html,Asbestos Removal North Kensington - asbestos removal - North Kensington centre W10,Asbestos Removal North Kensington - asbestos removal - North Kensington centre W10; screened enclosure with taped doors and an asbestos warning sign,Asbestos Removal North Kensington - asbestos removal - North Kensington centre W10. Screened enclosure with taped doors and an asbestos warning sign.,1672,941
asbestos-removal-north-kensington.html,asbestos-aib-fireplace-removal-london.webp,media/asbestos-aib-removal-north-kensington-oxford-gardens-w10.webp,Oxford Gardens,W10,51.517713,-0.215324,Asbestos AIB removal North Kensington,opened fireplace and surrounding exposed surfaces,False,https://www.ukcitymap.com/oxford-gardens-stop-f-info-490004699N.html,Asbestos AIB removal North Kensington - Oxford Gardens W10,Asbestos AIB removal North Kensington - Oxford Gardens W10; opened fireplace and surrounding exposed surfaces,Asbestos AIB removal North Kensington - Oxford Gardens W10. Opened fireplace and surrounding exposed surfaces.,549,699
