url,slug,page_type,service,main_location,primary_keyword_intent,parent_hub,gsc_clicks_20260902_17,gsc_impressions_20260902_17,gsc_avg_position_20260902_17,gsc_hosts_seen,protection_status,slug_action,current_primary_image,status,notes,top_queries,cannibalisation_flags,opportunity_action
https://asbestosremovalsinlondon.co.uk/asbestos-removal-richmond-upon-thames-london.html,asbestos-removal-richmond-upon-thames-london.html,borough/region,asbestos removal,Richmond Upon Thames,asbestos removal richmond upon thames,/locations.html,2,422,43.01,asbestosremovalsinlondon.co.uk,PROTECT,KEEP EXISTING URL,,live,,"asbestos roofs removal richmond [31 imp, pos 26.9] | asbestos removal services richmond [31 imp, pos 30.3] | asbestos roofing removal in richmond [24 imp, pos 23.5] | asbestos survey richmond [23 imp, pos 31.0] | asbestos garage removals in richmond [16 imp, pos 19.6]","asbestos roofs removal richmond <> asbestos-removal-richmond.html (11 imp,pos 57.1) | asbestos removal services richmond <> asbestos-removal-richmond.html (14 imp,pos 51.9) | asbestos roofing removal in richmond <> asbestos-removal-richmond.html (11 imp,pos 46.0) | asbestos ceiling removals in twickenham <> asbestos-artex-removal-twickenham.html (16 imp,pos 13.8); asbestos-removal-twickenham.html (13 imp,pos 16.0)",Surgical improvement only; preserve URL and proven primary intent
https://asbestosremovalsinlondon.co.uk/asbestos-removal-sutton-london.html,asbestos-removal-sutton-london.html,borough/region,asbestos removal,Sutton,asbestos removal sutton,/locations.html,0,413,31.32,asbestosremovalsinlondon.co.uk,PROTECT,KEEP EXISTING URL,,live,,"asbestos removal sutton [57 imp, pos 25.3] | asbestos removal services sutton [46 imp, pos 30.7] | artex removal sutton [45 imp, pos 20.8] | asbestos roofs removal sutton [42 imp, pos 27.0] | asbestos disposal sutton [41 imp, pos 28.1]","asbestos removal sutton <> asbestos-removal-sutton.html (35 imp,pos 42.1) | asbestos removal services sutton <> asbestos-removal-sutton.html (25 imp,pos 52.7) | artex removal sutton <> asbestos-artex-removal-london.html (29 imp,pos 40.0); asbestos-removal-sutton.html (20 imp,pos 17.7) | asbestos roofs removal sutton <> asbestos-removal-sutton.html (25 imp,pos 45.6)",Surgical improvement only; preserve URL and proven primary intent
https://asbestosremovalsinlondon.co.uk/asbestos-pipe-removal-london.html,asbestos-pipe-removal-london.html,service/support,asbestos pipe removal london,London,asbestos pipe removal london,/asbestos-removal-services.html,0,363,17.68,asbestosremovalsinlondon.co.uk,PROTECT,KEEP EXISTING URL,/media/asbestos-pipe-lagging-removal-london.jpg,live,,"pipe lagging removal kent [59 imp, pos 14.9] | asbestos lagging removal [56 imp, pos 29.7] | asbestos pipe lagging removal kingston upon thames [53 imp, pos 9.7] | pipe lagging removal surrey [52 imp, pos 19.2] | pipe lagging removal london [49 imp, pos 5.9]","asbestos pipe lagging removal kingston upon thames <> asbestos-removal-kingston.html (41 imp,pos 56.1); asbestos-removal-kingston-upon-thames-london.html (33 imp,pos 29.6) | pipe lagging removal london <> index.html (44 imp,pos 5.1) | asbestos boiler flue removal kingston upon thames <> asbestos-removal-kingston.html (35 imp,pos 61.3); asbestos-removal-kingston-upon-thames-london.html (27 imp,pos 40.7)",Surgical V3 quick-win upgrade in progress; preserve URL/title/H1; reinforce London pipe-lagging intent
https://asbestosremovalsinlondon.co.uk/asbestos-removal-services.html,asbestos-removal-services.html,service hub,asbestos removal,London,asbestos removal services,/,0,324,66.98,asbestosremovalsinlondon.co.uk|www.asbestosremovalsinlondon.co.uk,PROTECT,KEEP EXISTING URL,,live,,"asbestos removal london [42 imp, pos 63.6] | asbestos floor tiles removal london [38 imp, pos 70.2] | asbestos removalist [36 imp, pos 75.1] | asbestos floor tile removal london [35 imp, pos 68.3] | asbestos tile removal london [24 imp, pos 73.9]","asbestos removal london <> index.html (763 imp,pos 11.9); locations.html (79 imp,pos 73.5) | asbestos floor tiles removal london <> index.html (53 imp,pos 22.5); asbestos-floor-removal-london.html (39 imp,pos 36.2) | asbestos removalist <> index.html (115 imp,pos 8.6); locations.html (18 imp,pos 69.9) | asbestos floor tile removal london <> index.html (78 imp,pos 18.6); asbestos-floor-removal-london.html (45 imp,pos 26.9)",Surgical improvement only; preserve URL and proven primary intent
https://asbestosremovalsinlondon.co.uk/asbestos-garage-roof-removal-in-london.html,asbestos-garage-roof-removal-in-london.html,service/support,asbestos garage roof removal in london,London,asbestos garage roof removal in london,/asbestos-removal-services.html,0,221,37.09,asbestosremovalsinlondon.co.uk|www.asbestosremovalsinlondon.co.uk,REVIEW CAREFULLY,KEEP EXISTING URL,,live,,"asbestos garage roof removal london [52 imp, pos 37.1] | asbestos roof removal london [51 imp, pos 47.8] | asbestos shed roof removal london [26 imp, pos 20.9] | asbestos garage roof removal selhurst [16 imp, pos 31.9] | asbestos garage roof removal crystal palace and upper norwood [12 imp, pos 32.2]","asbestos garage roof removal london <> asbestos-garage-removal-in-london.html (52 imp,pos 50.8); index.html (26 imp,pos 23.2) | asbestos roof removal london <> index.html (69 imp,pos 16.8); asbestos-garage-removal-in-london.html (47 imp,pos 76.6) | asbestos shed roof removal london <> asbestos-garage-removal-in-london.html (28 imp,pos 30.5) | asbestos garage removal london <> index.html (18 imp,pos 13.4); asbestos-garage-removal-in-london.html (14 imp,pos 39.2)",Review query ownership before rewrite; improve surgically if traction exists
https://asbestosremovalsinlondon.co.uk/asbestos-removal-barnet-london.html,asbestos-removal-barnet-london.html,borough/region,asbestos removal,Barnet,asbestos removal barnet,/locations.html,0,219,51.92,www.asbestosremovalsinlondon.co.uk,REVIEW CAREFULLY,KEEP EXISTING URL,,live,,"asbestos removal north london [58 imp, pos 50.0] | asbestos roof removal london [39 imp, pos 91.5] | asbestos removal services north london [26 imp, pos 53.8] | asbestos removal barnet [16 imp, pos 18.1] | asbestos roofing removal in putney [14 imp, pos 42.7]","asbestos removal north london <> index.html (97 imp,pos 13.7); asbestos-removal-north-london.html (61 imp,pos 36.9) | asbestos roof removal london <> index.html (69 imp,pos 16.8); asbestos-garage-roof-removal-in-london.html (51 imp,pos 47.8) | asbestos removal services north london <> index.html (51 imp,pos 15.0); asbestos-removal-north-london.html (32 imp,pos 36.8) | asbestos roofing removal in putney <> asbestos-removal-putney.html (15 imp,pos 12.9); index.html (13 imp,pos 48.9)",Review query ownership before rewrite; improve surgically if traction exists
https://asbestosremovalsinlondon.co.uk/asbestos-removal-sutton.html,asbestos-removal-sutton.html,sub-area/location,asbestos removal,Sutton,asbestos removal sutton,/locations.html,0,213,43.43,asbestosremovalsinlondon.co.uk|www.asbestosremovalsinlondon.co.uk,REVIEW CAREFULLY,KEEP EXISTING URL,,live,,"asbestos removal sutton [35 imp, pos 42.1] | asbestos roofs removal sutton [25 imp, pos 45.6] | asbestos removal services sutton [25 imp, pos 52.7] | asbestos disposal sutton [23 imp, pos 54.4] | artex removal sutton [20 imp, pos 17.7]","asbestos removal sutton <> asbestos-removal-sutton-london.html (57 imp,pos 25.3) | asbestos roofs removal sutton <> asbestos-removal-sutton-london.html (42 imp,pos 27.0) | asbestos removal services sutton <> asbestos-removal-sutton-london.html (46 imp,pos 30.7) | asbestos disposal sutton <> asbestos-removal-sutton-london.html (41 imp,pos 28.1)",Review query ownership before rewrite; improve surgically if traction exists
https://asbestosremovalsinlondon.co.uk/asbestos-removal-essex.html,asbestos-removal-essex.html,sub-area/location,asbestos removal,Essex,asbestos removal essex,/locations.html,0,209,52.76,asbestosremovalsinlondon.co.uk|www.asbestosremovalsinlondon.co.uk,REVIEW CAREFULLY,KEEP EXISTING URL,,live,,"asbestos removal essex [141 imp, pos 54.5] | asbestos removal services essex [15 imp, pos 50.5] | asbestos removal companies in essex [14 imp, pos 47.2] | essex asbestos removal [14 imp, pos 58.3] | asbestos removal in essex [11 imp, pos 48.3]",,Review query ownership before rewrite; improve surgically if traction exists
https://asbestosremovalsinlondon.co.uk/asbestos-removal-surbiton.html,asbestos-removal-surbiton.html,sub-area/location,asbestos removal,Surbiton,asbestos removal surbiton,/locations.html,0,193,18.28,asbestosremovalsinlondon.co.uk|www.asbestosremovalsinlondon.co.uk,REVIEW CAREFULLY,KEEP EXISTING URL,,live,,"asbestos removal services surbiton [49 imp, pos 23.3] | asbestos floor tiles removals in surbiton [32 imp, pos 4.0] | asbestos roofing removal in surbiton [29 imp, pos 16.1] | asbestos ceiling removals in surbiton [18 imp, pos 5.9] | asbestos garage removals in surbiton [16 imp, pos 14.4]","asbestos floor tiles removals in surbiton <> asbestos-removal-kingston-upon-thames-london.html (14 imp,pos 61.0) | asbestos ceiling removals in surbiton <> asbestos-removal-kingston.html (14 imp,pos 82.4) | asbestos ceiling removals in kingston upon thames <> asbestos-removal-kingston.html (20 imp,pos 16.3); asbestos-removal-kingston-upon-thames-london.html (10 imp,pos 50.7)",Quick win: V3 buyer/local/content improvement + internal links; keep URL
https://asbestosremovalsinlondon.co.uk/asbestos-removal-north-london.html,asbestos-removal-north-london.html,borough/region,asbestos removal,North,asbestos removal north,/locations.html,0,192,39.13,asbestosremovalsinlondon.co.uk|www.asbestosremovalsinlondon.co.uk,REVIEW CAREFULLY,KEEP EXISTING URL,,live,,"asbestos removal north london [61 imp, pos 36.9] | asbestos removal contractors north london [42 imp, pos 44.5] | asbestos removal services north london [32 imp, pos 36.8] | asbestos disposal north london [16 imp, pos 18.9] | asbestos specialists north london [12 imp, pos 35.3]","asbestos removal north london <> index.html (97 imp,pos 13.7); asbestos-removal-barnet-london.html (58 imp,pos 50.0) | asbestos removal contractors north london <> index.html (44 imp,pos 19.5) | asbestos removal services north london <> index.html (51 imp,pos 15.0); asbestos-removal-barnet-london.html (26 imp,pos 53.8) | asbestos disposal north london <> index.html (32 imp,pos 15.1)",Review query ownership before rewrite; improve surgically if traction exists
https://asbestosremovalsinlondon.co.uk/licensed-asbestos-removal-london.html,licensed-asbestos-removal-london.html,licensed service,licensed asbestos removal,London,licensed asbestos removal London,/asbestos-removal-services.html,0,192,49.65,asbestosremovalsinlondon.co.uk,REVIEW CAREFULLY,KEEP EXISTING URL,,live,,"licensed asbestos removal [155 imp, pos 56.3] | asbestos abatement london [7 imp, pos 12.6] | licensed asbestos removal contractors [4 imp, pos 19.8] | asbestos ceiling removals in chelsea [2 imp, pos 1.0] | asbestos decontamination london [2 imp, pos 11.5]","asbestos abatement london <> index.html (26 imp,pos 26.6) | licensed asbestos removal contractors <> index.html (18 imp,pos 34.3) | asbestos ceiling removals in chelsea <> index.html (30 imp,pos 22.8); asbestos-removal-services.html (21 imp,pos 48.6) | asbestos decontamination london <> index.html (52 imp,pos 22.4)",Review query ownership before rewrite; improve surgically if traction exists
https://asbestosremovalsinlondon.co.uk/asbestos-removal-south-london.html,asbestos-removal-south-london.html,borough/region,asbestos removal,South,asbestos removal south,/locations.html,0,180,49.39,www.asbestosremovalsinlondon.co.uk,REVIEW CAREFULLY,KEEP EXISTING URL,,live,,"asbestos removal south london [75 imp, pos 37.8] | asbestos removals south east [28 imp, pos 62.1] | asbestos removal south east [25 imp, pos 63.2] | asbestos removal services london [13 imp, pos 75.2] | london asbestos removal [9 imp, pos 65.6]","asbestos removal south london <> index.html (89 imp,pos 19.5); contact.html (14 imp,pos 49.1) | asbestos removals south east <> index.html (28 imp,pos 29.5); asbestos-removal-east-london.html (27 imp,pos 63.0) | asbestos removal south east <> index.html (35 imp,pos 30.2); asbestos-removal-east-london.html (25 imp,pos 61.1) | asbestos removal services london <> index.html (90 imp,pos 9.7); asbestos-removal-east-london.html (13 imp,pos 64.9)",Review query ownership before rewrite; improve surgically if traction exists
https://asbestosremovalsinlondon.co.uk/asbestos-removal-romford.html,asbestos-removal-romford.html,sub-area/location,asbestos removal,Romford,asbestos removal romford,/locations.html,0,161,36.12,asbestosremovalsinlondon.co.uk,REVIEW CAREFULLY,KEEP EXISTING URL,,live,,"asbestos removal romford [72 imp, pos 29.9] | asbestos removal contractors romford [34 imp, pos 40.8] | asbestos removal services romford [30 imp, pos 37.2] | asbestos removal service romford [11 imp, pos 39.7] | asbestos waste removal romford [11 imp, pos 54.1]",,Review query ownership before rewrite; improve surgically if traction exists
https://asbestosremovalsinlondon.co.uk/locations.html,locations.html,area hub,asbestos removal,London,London asbestos removal areas,/,0,157,71.89,www.asbestosremovalsinlondon.co.uk,REVIEW CAREFULLY,KEEP EXISTING URL,,live,,"asbestos removal london [79 imp, pos 73.5] | london asbestos removal [20 imp, pos 77.2] | asbestos removalist [18 imp, pos 69.9] | asbestos removal services london [12 imp, pos 77.3] | asbestos removal in london [7 imp, pos 71.0]","asbestos removal london <> index.html (763 imp,pos 11.9); asbestos8203-8203disposal8203-8203in8203-8203london.html (53 imp,pos 72.1) | london asbestos removal <> index.html (140 imp,pos 8.0); home.html (16 imp,pos 70.4) | asbestos removalist <> index.html (115 imp,pos 8.6); asbestos-removal-services.html (36 imp,pos 75.1) | asbestos removal services london <> index.html (90 imp,pos 9.7); asbestos-removal-east-london.html (13 imp,pos 64.9)",Review query ownership before rewrite; improve surgically if traction exists
https://asbestosremovalsinlondon.co.uk/asbestos-removal-teddington.html,asbestos-removal-teddington.html,sub-area/location,asbestos removal,Teddington,asbestos removal teddington,/locations.html,0,154,12.34,asbestosremovalsinlondon.co.uk,PROTECT,KEEP EXISTING URL,,live,,"asbestos removal services teddington [38 imp, pos 12.1] | asbestos roofing removal in teddington [26 imp, pos 13.2] | asbestos floor tiles removals in teddington [17 imp, pos 2.5] | asbestos ceiling removals in teddington [14 imp, pos 5.8] | asbestos garage removals in teddington [14 imp, pos 7.6]","asbestos removal services teddington <> asbestos-artex-removal-twickenham.html (29 imp,pos 59.3); index.html (18 imp,pos 66.8) | asbestos roofing removal in teddington <> asbestos-artex-removal-twickenham.html (24 imp,pos 55.8); index.html (13 imp,pos 66.8) | asbestos floor tiles removals in teddington <> asbestos-floor-removal-london.html (12 imp,pos 50.0) | asbestos ceiling removals in teddington <> asbestos-artex-removal-twickenham.html (13 imp,pos 51.9)",Surgical improvement only; preserve URL and proven primary intent
https://asbestosremovalsinlondon.co.uk/asbestos-aib-removal-london.html,asbestos-aib-removal-london.html,service/support,asbestos aib removal london,London,asbestos aib removal london,/asbestos-removal-services.html,4,147,39.95,asbestosremovalsinlondon.co.uk,PROTECT,KEEP EXISTING URL,,live,,"aib asbestos removal [51 imp, pos 33.3] | aib removal kingston upon thames [28 imp, pos 69.4] | asbestos insulation board removal london [25 imp, pos 47.3] | aib removal [21 imp, pos 32.1] | aib asbestos removal kent [10 imp, pos 29.6]","aib removal kingston upon thames <> asbestos-removal-kingston.html (48 imp,pos 20.9); asbestos-removal-kingston-upon-thames-london.html (38 imp,pos 7.3) | asbestos insulation board removal london <> index.html (58 imp,pos 8.5); asbestos-removal-services.html (22 imp,pos 69.7)",Surgical improvement only; preserve URL and proven primary intent
https://asbestosremovalsinlondon.co.uk/asbestos-removal-richmond.html,asbestos-removal-richmond.html,sub-area/location,asbestos removal,Richmond,asbestos removal richmond,/locations.html,1,146,41.01,asbestosremovalsinlondon.co.uk,PROTECT,KEEP EXISTING URL,,live,,"artex removal twickenham [17 imp, pos 29.6] | artex removal richmond [16 imp, pos 4.4] | asbestos removal services richmond [14 imp, pos 51.9] | asbestos roofing removal in richmond [11 imp, pos 46.0] | asbestos roofs removal richmond [11 imp, pos 57.1]","artex removal twickenham <> asbestos-artex-removal-twickenham.html (34 imp,pos 7.1); asbestos-removal-richmond-upon-thames-london.html (13 imp,pos 37.6) | artex removal richmond <> index.html (31 imp,pos 2.1); asbestos-artex-removal-twickenham.html (24 imp,pos 26.7) | asbestos removal services richmond <> asbestos-removal-richmond-upon-thames-london.html (31 imp,pos 30.3) | asbestos roofing removal in richmond <> asbestos-removal-richmond-upon-thames-london.html (24 imp,pos 23.5)",Surgical improvement only; preserve URL and proven primary intent
https://asbestosremovalsinlondon.co.uk/asbestos-removal-east-london.html,asbestos-removal-east-london.html,borough/region,asbestos removal,East,asbestos removal east,/locations.html,0,142,50.56,asbestosremovalsinlondon.co.uk|www.asbestosremovalsinlondon.co.uk,REVIEW CAREFULLY,KEEP EXISTING URL,,live,,"asbestos removal east london [48 imp, pos 38.1] | asbestos removals south east [27 imp, pos 63.0] | asbestos removal south east [25 imp, pos 61.1] | london asbestos removal [13 imp, pos 60.0] | asbestos removal services london [13 imp, pos 64.9]","asbestos removal east london <> index.html (89 imp,pos 9.9) | asbestos removals south east <> index.html (28 imp,pos 29.5); asbestos-removal-south-london.html (28 imp,pos 62.1) | asbestos removal south east <> index.html (35 imp,pos 30.2); asbestos-removal-south-london.html (25 imp,pos 63.2) | london asbestos removal <> index.html (140 imp,pos 8.0); locations.html (20 imp,pos 77.2)",Review query ownership before rewrite; improve surgically if traction exists
https://asbestosremovalsinlondon.co.uk/asbestos8203-8203disposal8203-8203in8203-8203london.html,asbestos8203-8203disposal8203-8203in8203-8203london.html,service/support,asbestos8203 8203disposal8203 8203in8203 8203london,London,asbestos8203 8203disposal8203 8203in8203 8203london,/asbestos-removal-services.html,0,138,67.07,asbestosremovalsinlondon.co.uk|www.asbestosremovalsinlondon.co.uk,REVIEW CAREFULLY,KEEP EXISTING URL,,live,MALFORMED LEGACY SLUG — redirect target not yet approved,"asbestos removal london [53 imp, pos 72.1] | asbestos disposal london [33 imp, pos 80.1] | asbestos waste disposal in bermondsey [18 imp, pos 33.0] | asbestos waste collection london [12 imp, pos 68.6] | asbestos collection van london [9 imp, pos 61.1]","asbestos removal london <> index.html (763 imp,pos 11.9); locations.html (79 imp,pos 73.5) | asbestos disposal london <> index.html (230 imp,pos 11.8) | asbestos waste collection london <> index.html (13 imp,pos 51.2) | asbestos collection van london <> index.html (121 imp,pos 12.6)",Legacy malformed slug; map clean target + 301 before removal from sitemap
